sex	decade	pct	name
F	1880	0.010	Jewel
F	1880	0.010	Joe
F	1880	0.003	Johannah
F	1880	0.007	Juana
F	1880	0.011	Judith
F	1880	0.003	Judy
F	1880	0.003	Junie
F	1880	0.001	Lavonia
F	1880	0.004	Lella
F	1880	0.002	Lemma
F	1880	0.002	Letty
F	1880	0.002	Linna
F	1880	0.002	Littie
F	1880	0.006	Lollie
F	1880	0.005	Lorene
F	1880	0.005	Louis
F	1880	0.002	Love
F	1880	0.001	Lucina
F	1880	0.001	Lynn
F	1880	0.001	Madora
F	1880	0.002	Mahalia
F	1880	0.006	Manuela
F	1880	0.004	Margarett
F	1880	0.007	Margaretta
F	1880	0.006	Margarita
F	1880	0.002	Marilla
F	1880	0.002	Mignon
F	1880	0.001	Mozella
F	1880	0.012	Natalie
F	1880	0.006	Nelia
F	1880	0.001	Nolie
F	1880	0.004	Omie
F	1880	0.022	Opal
F	1880	0.005	Ossie
F	1880	0.008	Ottie
F	1880	0.006	Ottilia
F	1880	0.005	Parthenia
F	1880	0.003	Penelope
F	1880	0.003	Pinkey
F	1880	0.007	Pollie
F	1880	0.002	Rennie
F	1880	0.004	Reta
F	1880	0.002	Roena
F	1880	0.002	Rosalee
F	1880	0.005	Roseanna
F	1880	0.005	Ruthie
F	1880	0.004	Sabra
F	1880	0.008	Selena
F	1880	0.004	Sibyl
F	1880	0.001	Tella
F	1880	0.008	Tempie
F	1880	0.005	Tennessee
F	1880	0.003	Texas
F	1880	0.001	Theda
F	1880	0.006	Thelma
F	1880	0.001	Thursa
F	1880	0.003	Ula
F	1880	0.004	Vannie
F	1880	0.004	Verona
F	1880	0.006	Vertie
F	1880	0.016	Wilma
F	1880	0.006	Adell
F	1880	0.011	Celeste
F	1880	0.019	Audrey
F	1880	0.010	Lonie
F	1880	0.006	Zadie
F	1880	0.006	Aura
F	1880	0.006	Elta
F	1880	0.004	Eveline
F	1880	0.011	Lelah
F	1880	0.006	Nanie
F	1880	0.010	Petra
F	1880	0.006	Elvie
F	1880	0.006	Glennie
F	1880	0.006	Juliette
F	1880	0.003	Mannie
F	1880	0.004	Mercy
F	1880	0.005	Miranda
F	1880	0.004	Nana
F	1880	0.001	Zilpah
F	1880	0.001	Almedia
F	1880	0.005	Berdie
F	1880	0.004	Byrdie
F	1880	0.004	Claribel
F	1880	0.009	Coral
F	1880	0.005	Edwina
F	1880	0.005	Exie
F	1880	0.004	Justine
F	1880	0.004	Malissie
F	1880	0.003	Myrtice
F	1880	0.004	Narcissus
F	1880	0.005	Rosamond
F	1880	0.008	Theresia
F	1880	0.007	Valeria
F	1880	0.001	Vessie
F	1880	0.003	Victorine
F	1880	0.002	Alfreda
F	1880	0.005	Alicia
F	1880	0.004	Arabella
F	1880	0.004	Arminda
F	1880	0.004	Audie
F	1880	0.005	Cammie
F	1880	0.011	Carmen
F	1880	0.007	Dottie
F	1880	0.004	Flo
F	1880	0.005	Fredericka
F	1880	0.001	Gloria
F	1880	0.005	Gusta
F	1880	0.007	Icie
F	1880	0.004	Lillia
F	1880	0.003	Lota
F	1880	0.004	Nathalie
F	1880	0.007	Nita
F	1880	0.003	Ota
F	1880	0.004	Ramona
F	1880	0.003	Texie
F	1880	0.004	Will
F	1880	0.003	Zillah
F	1880	0.003	Aida
F	1880	0.004	Allene
F	1880	0.002	Arra
F	1880	0.020	Belva
F	1880	0.004	Biddie
F	1880	0.004	Bula
F	1880	0.003	Carry
F	1880	0.003	Courtney
F	1880	0.001	Crete
F	1880	0.003	Dicy
F	1880	0.002	Dossie
F	1880	0.009	Ester
F	1880	0.008	Evangeline
F	1880	0.003	Flavia
F	1880	0.003	Fleta
F	1880	0.006	Fronia
F	1880	0.001	Gillie
F	1880	0.001	Jinnie
F	1880	0.002	Jonnie
F	1880	0.004	Karen
F	1880	0.004	Katharina
F	1880	0.001	Mell
F	1880	0.003	Mirtie
